case_name,gt_instances,pred_instances,true_positives,false_positives,false_negatives,recognition_quality_f1,global_dice_bin,mean_iou,std_iou,mean_dice,std_dice,mean_assd,std_assd,mean_rvd,std_rvd
case_00567,3,3,0,0,0,1.0,0.9119636176923641,0.7398169350819754,0.0,0.8504537692031573,0.0,1.7235487426153566,0.0,0.035153871980578295,0.0
case_00568,3,3,0,0,0,1.0,0.6368883190049597,0.6531429800505458,0.0,0.7901832907769122,0.0,3.7562227994187047,0.0,-0.16274165802268353,0.0
case_00569,2,2,0,0,0,0.5,0.9138079128894997,0.837520010225758,0.0,0.9115764786940852,0.0,0.691131507230889,0.0,-0.13067815921137366,0.0
case_00570,2,3,0,0,0,0.8,0.9426149853680084,0.8112611592350847,0.07927268661260634,0.8936778291864589,0.04841992569228243,0.4196197702281723,0.13388844099140237,-0.08146376497014814,0.010599727093343933
case_00571,3,3,0,0,0,1.0,0.6982970671712394,,,,,,,,
case_00572,2,3,0,0,0,0.8,0.6103660346631155,0.629578340946399,0.0,0.7726886460466369,0.0,22.76482880892738,0.0,0.023723417100507713,0.0
case_00573,2,3,0,0,0,0.8,0.8752033227608158,0.6767974138421464,0.036583850734644596,0.8066820354661858,0.02603544467154384,2.8283758862823034,0.7885476616866498,0.04071276922183889,0.12399140711226783
case_00574,2,3,0,0,0,0.8,0.9529266985676855,0.9126630994991116,0.0,0.9543375409272233,0.0,0.48081345931423547,0.0,-0.01910335985236606,0.0
case_00575,3,3,0,0,0,1.0,0.8921729807005003,0.7580259557667193,0.0,0.8623603687763814,0.0,1.526931298712566,0.0,-0.08570287908882744,0.0
case_00576,2,3,0,0,0,0.8,0.4800011758250372,0.6554213086458497,0.0,0.7918483412322275,0.0,1.8485862386390912,0.0,-0.30301275555341084,0.0
case_00577,2,3,0,0,0,0.8,0.5022351300789653,,,,,,,,
case_00578,3,3,0,0,0,1.0,0.9318710070545961,0.8645360833878608,0.0,0.9273471198444165,0.0,1.6860973467589848,0.0,0.08098970010286709,0.0
case_00579,2,3,0,0,0,0.8,0.9708637565793293,0.9387813876737706,0.0,0.9684241798918433,0.0,0.519154722272989,0.0,-0.014452203303360755,0.0
case_00580,2,1,0,0,0,0.6666666666666666,0.9252067662775263,0.8369750567613483,0.0,0.9112535890791732,0.0,1.399978588927778,0.0,-0.0210554763053198,0.0
case_00581,2,3,0,0,0,0.8,0.9779662392468755,0.9491164106548722,0.0,0.9738940224057568,0.0,0.26177002563155316,0.0,0.019319682959048876,0.0
case_00582,2,1,0,0,0,0.6666666666666666,0.20648058325603996,,,,,,,,
case_00583,2,3,0,0,0,0.8,0.9580530077389711,0.8195109617562779,0.0735100339371682,0.8990064592594309,0.044481222837108314,2.3455176836482807,1.2448970180401546,-0.034342262621878075,0.028064784626720487
